Description,Address,Price(Rands),Bedrooms,Bathrooms,Toilets,Garage
Walking Distance To The Beach In A Secure Estate!,Keurboomstrand,1850000,2,2.0,1,0
Family House In Selcourt,Selcourt,850000,3,1.0,1,0
Start your dream life with a dream home,La Mercy,2590000,3,2.0,0,0
Well priced...to sell fast!,"Cason, 26/79 Cason road",329000,1,1.0,1,0
Gem of a Stand Perfect Location in Beautiful Secure Estate.,Helderwyk,792200,0,0.0,0,0
Newly renovated family home in popular Montana Park,Montana Park,1530000,3,2.0,3,2
"An undeniable ""WOW"" factor",Vanderbijlpark SE 4,2650000,5,4.0,4,2
Developers & Investors - 5.1450HA of Land - R 16 000 000!!!,Kabega,16000000,0,0.0,0,0
Sidwell   New release  !!    R450 000,"Sidwell, 2 Gould street",450000,2,1.0,1,1
NEW - Low maintenance in quiet area,Parys,775000,2,2.0,2,1
More home than garden.  a,Oos Einde,1344000,6,3.0,2,0
A walking distance to the beach apartment,South Beach,320000,1,1.0,1,1
Family home,"Hibberdene, 21 Club Med Noelwood Street",695000,4,1.0,0,0
Life's good when you have it all at your fingertips!,"Kyalami, 157 The Whisken Whisken Avenue",1300000,2,2.0,2,0
Bed & Breakfast Potential,"Vorna Valley, 22 Kokkewiet Avenue",5900000,6,5.0,5,2
The Pines - Residential Development - 8 Units Remaining,"Albertsdal, 1 Cnr JG Strydom and Eekhoring Road",549000,2,2.0,0,0
Lock-up & Go with Stunning View.,La Montagne,450000,1,1.0,0,0
Home where the heart is!,"Eldorado Park, 12 Viscount Road",1900000,4,2.0,0,0
Beautiful Villa back in the market,Protea Park,1899000,4,2.0,2,2
Value like this sells quickly.,Garsfontein,1950000,3,2.0,2,2
"For the Entertainer, Super Patio, Braai & Pool R1195k","Wentworth Park, 79 Saner Road",1170000,3,2.0,2,1
Peaceful Living,St Francis On Sea Phase I,275000,0,0.0,0,0
Views Forever!!,St Francis On Sea Phase I I,440000,0,0.0,0,0
Incredible Gem of an Executive Home Perfectly Priced.,Heidelberg Central,3100000,5,5.0,6,2
Country Living at its best!!!,"The Coves, 32 Oyster Cove",1695000,3,3.0,3,2
Fantastic Stand in a Cul-de-Sac!!,The Coves,899000,0,0.0,0,0
Beautiful house in Elandshaven,"Elandshaven, 9 Sandwich bay St",1600000,2,2.0,2,2
Is staying in an Estate your priority? House for sale!!,"Country View, 75/90 Freesia Drive",780000,3,1.0,1,1
"Perfection, Excecutive family home. Gem at BARGAIN price.",Jordaan Park,2995000,4,4.0,5,4
Stunning Premium Luxury Apartment,"Table View, 87 Coral Road",2849999,2,1.0,1,1
Yearning for Space ?,Harkerville AH,5400000,4,3.0,3,2
Stunning family home.,Reservoir Hills,4485000,4,3.0,4,3
"The White House, in Fleurhof United States of Africa.","Fleurhof, 17 Klinker Avenue",1999000,7,3.0,3,4
Family Home Just On the Market,"Meadowlands, 3514 Indwa Street",580000,2,1.0,1,0
Comfortable home with sea views for ever!,Agulhas,3295000,3,2.0,2,0
Golf Estate Family House,"Vaal Marina, 234 Harbour Town",2575000,4,3.0,2,0
Gem on the First floor!,"Moreleta Park, 50/309 Lucky Bean Crescent",760000,2,1.0,1,0
5 bedroom house in Cambridge West,Cambridge West,1650000,5,3.0,4,2
"1 Bedroom Aprtment in Parkwood , The Orchards","The Orchards, 8/6518 Orange Blossom Boulevard",440000,1,1.0,1,0
Family Home & 3 Flats at an incredible price. BARGAIN.,Bergsig,1290000,7,4.0,4,2
Spacious and gracious,"Amber Valley, 284/21 Plane Avenue",4000000,3,2.0,2,2
Riverview townhouse in good area,Parys,690000,2,1.0,2,1
Vacant Land For Sale In Kleinemonde Eastern Cape,"Kleinemonde, 23 Hillcrest Road",330000,0,0.0,0,0
Well maintained house in Westing house blvd,Vanderbijlpark CE 2,800000,4,1.0,2,1
3 bedroom house for sale!,Egerton,990000,3,1.0,1,0
"3 Bedroom in Heiderand  for Sale - R1,650,000","Heiderand, 25 Swarthout",1650000,3,2.0,1,0
Love at first sight,"St Francis On Sea Phase I, 1 Padrone Crescent",440000,0,0.0,0,0
Entertainment Spacious Surprise,Simbithi Eco Estate,9800000,5,5.0,6,3
Absolutely Beautiful Beachfront Apartment,"Humewood, 6 Oslo, Beach Road",1550000,2,1.0,2,1
Large Plot with Amazing River Views in Upmarket Estate,"Port Alfred Central, 6 Anne McKay Road, Riverview Waterfront Estate,",399000,0,0.0,0,0
"Large, Spacious Family Home","Kyalami Hills, 38/53 Kyalami Hills Estate, Robin Avenue",3325000,4,3.0,4,3
Watch the wales and dolphins play,"Ballito Central, 108 Kenwyn/102 Compensation Beach Road",3900000,3,2.0,2,1
Very Super Neat Apartment,"Erand Gardens, 091/1 Ninty On Lever, Leogem Place",610000,2,1.0,0,0
Vert Neat House For Sale In Riverlea,Riverlea,820000,3,2.0,2,0
Prime Business Premises,"Bluff, 70 parsons road",2495000,4,2.0,2,0
Gracious Thatched Homestead In Great Position,"Noordhaven, 9 Wood Close",5350000,5,4.0,5,2
New and Clean,Tsakane,675000,3,1.0,2,0
Perfect location for development,Oudtshoorn Central,1800000,3,1.0,1,0
Vacant Land In Langholm Country Estate Eastern Cape,"Bathurst, Erf 59 Langholm",120000,0,0.0,0,0
On offer a beautiful 3 bedroom home in the center of Dalpark,Dalpark,1400000,3,2.0,0,0
Vacant Land In Langholm Country Estate Eastern Cape,"Bathurst, Erf 57 Langholm",120000,0,0.0,0,0
Charming open plan family home,"Sheffield Beach, 28 Gail road",2700000,3,2.0,2,2
Two bedroom flat for sale in Amalinda,Amalinda,485000,2,1.0,1,0
Magestical Agulhas!,Agulhas,650000,0,0.0,0,0
"3 Bedrooms, 2 bathroom and outside bedroom",Beacon Bay,2000000,3,2.0,2,2
Embrace the way you live!,"Scottburgh, 28 Dombeya road",3103000,3,2.0,2,2
Mooi River,"Mooi River, 5 Cameron Road",750000,3,2.0,2,2
Nest Or Invest,Vanderbijlpark SW 1,670000,2,1.0,1,0
Old world charm meets modern convenience,"Benoni Central, 204 Kemston Avenue",2500000,4,2.0,1,2
Property enclosed in Palm acres estate,Kenleaf,1484000,3,2.0,1,0
Premium Luxury Apartment,"Waves Edge, 10 Blaauwberg Road",3774999,3,2.0,1,0
Two bedroom duplex property,Greenstone Hill,900000,2,1.0,1,0
Right on the Beach!,Amanzimtoti,799000,2,2.0,2,0
"Modern, spacious property for sale in Westcliff, Hermanus","Westcliff, 60 Canterbury Street",2490000,3,3.0,3,1
Beautiful 3 bedroom townhouse!,Vaalpark,1550000,3,2.0,2,2
Beautiful Sea views From This North-facing Plot,Agulhas,492000,0,0.0,0,0
Large Family Home In Perfect Area!,Kriel,1680000,4,3.0,0,0
4 Bedroom House in Greenfields,Greenfields,1200000,4,2.0,2,1
Great investment in the beach vicinity,South Beach,370000,1,1.0,1,1
Charm and Character in Olde Pinelands,"Pinelands, 16 The Bend",3995000,5,5.0,4,0
NEW Development in Chantelle,Chantelle,1590000,3,2.0,2,2
"Musgrave 2,5 Bedroom 1 Parking Love at first sight!",Musgrave,1295000,2,1.0,1,1
Upmarket secure estate,Reyno Ridge,525000,2,1.0,1,0
"Sunny 2 Bedroom Flat, newly painted",Reyno Ridge,530000,2,1.0,1,0
Sole Mandate: Lovely 2 bedroom apartment for sale!,Louis Trichardt,780000,2,2.0,1,0
Bargain of the year,Boitekong,490000,3,1.0,0,0
Beachfront Luxury Apartment,"Waves Edge, 10 Blaauwberg road",3479999,3,2.0,0,0
Priced To Sell! Prime Position!,Three Rivers,950000,3,1.0,0,0
Piece of Land in Reservoir Hills!!!,"Reservoir Hills, 361 Annet Drive",280000,0,0.0,0,0
Plot With Beautiful Sea Views,Agulhas,383000,0,0.0,0,0
Family home that needs little TLC,Geelhoutpark,1400000,3,2.0,0,0
"Clean,  Comfort and Class!",St Lucia,3495000,3,2.0,3,2
Perfect lock-up and go,Grabouw,1150000,3,2.0,2,0
Fall in Love Again in this Happily-Ever-After Home,"Hillcrest, 6 Highbury Road",5250000,4,2.0,2,0
Spacious living at its Best/Business site,Dalpark,2250000,5,2.5,2,0
2 bedroom apartment in Secure Estate!,"Kosmosdal, 7/6945 Fleabane Crescent",670000,2,1.0,0,0
Unassuming Luxurious 3 Bedroom Cluster!,"New Redruth, 28 Launceston Road",2850000,3,2.0,3,2
Wonderful 2 bedroom cluster!,"Turffontein, 420 Rifle Range Road",800000,2,1.0,3,0
Beautiful Townhouse,Hilton,2195000,3,2.0,2,2
Brand  New  Family  Home  -  Villa  Chantelle,"Chantelle, 45/1439 Walnut Drive",1590000,3,2.0,3,2
Ideally situated home with lots of potential,Dormehlsdrift,2080000,3,2.0,3,2
Lockup and Go in Secure Estate,"The Wilds, 104 Twin Palm Street",1700000,3,3.0,3,2
Apartment for sale in Mossel Bay in the Garden Route.,Heiderand,630000,2,1.0,1,0
Quiet Cul-De-Sac,Struisbaai,305000,0,0.0,0,0
Unrivalled Opportunity,Vanderbijlpark SE 3,645000,2,1.0,1,0
Pelham,Pelham,595000,2,1.0,1,0
Roodepark Eco Estate,"Roodeplaat, 998/53 Roodepark Eco Estate",910000,0,0.0,0,0
Close to great Schools on route to Wadeville,Castleview,595000,2,1.0,1,0
The location is quiet and peaceful!,Daleside,420000,0,0.0,0,0
Victorian Style Home With Lovely Garden,"Swellendam, 11 Van Eeden Street",2350000,3,2.0,2,2
3 Bedroom Home with Flat,Piet Retief,1570000,3,2.0,3,2
Dareling space just for you,Golden Springs,490000,2,1.0,1,0
Bursting with potential !,Vanderbijlpark CE 1,800000,3,1.0,1,0
2 bedroom duplex in a quiet area,"Gezina, 5/542 Adcock Street",720000,2,2.0,0,0
"3 Bedroom with Braai Patio in Haasendal, Kuils River","Haasendal, 25 Limietberg",1365000,3,2.0,2,0
"Brand New 2 bedroom apartment in Haasendal, Kuils River","Haasendal, 15 Limietberg",1195000,2,1.0,1,0
Your Chance at Uninterrupted Sea Views,Suiderstrand,1200000,0,0.0,0,0
Best Of Both Worlds,Hankey,2700000,6,4.0,0,0
Nest or Invest!,De Deur,635000,2,2.0,0,0
Family Home for sale in Lotus gardens,"Lotus Gardens, 12 cumin street",850000,3,2.0,0,0
3 Bedroom House,Mabopane,600000,3,1.0,2,2
large double story - 7 rooms - guest house potential - or NO,"Parklands, 45 Callington Crescent",3499000,7,6.0,7,2
Lifestyle Farm with Huge Potential & Enough Water For Sale!,Albertinia,1320000,3,1.0,2,3
"Spacious Double Story Family Home in George, Western Cape",Die Bult,3200000,4,3.5,4,2
Wonderful property in Boschenvaal Freestate,Sasolburg,3750000,4,3.0,4,0
Contemporary four bedroom home in Eldo Lakes Estate,Glen Lauriston,4300000,4,4.5,5,2
Go for it.....if your family comes first!,Constantia Park,2700000,4,2.0,5,0
3 Bedroom house for sale in Jacobsbaai,"Jacobsbaai, 10 Jacob de Goede street",2700000,3,2.0,1,2
Live the life Build you own home.,Riverspray Lifestyle Estate,415000,0,0.0,0,0
2 Bedroom house,Scenery Park,380000,2,1.0,1,1
Ideal Apartment ... working from home!,"Kyalami, 123/144 Jacana Eco Estate, Begonia Road",1849000,3,2.0,0,0
Build your dream,"Palm Lakes Estate, 38 Kariba Cr",690000,0,0.0,0,0
Smart And Affordable!!!,Kwa Thema,420000,3,1.0,0,0
Design your new life,"Palm Lakes Estate, 1 Kariba Crescent",860000,0,0.0,0,0
Design your life on this open canvas,"Palm Lakes Estate, 10 Lauren Lane",950000,0,0.0,0,0
Cozy Two Bedroom in Safari Gardens,Safari Gardens,560000,2,1.0,1,1
Fabulous Fernwood Estate,Fernwood Estate,2995000,3,2.0,3,2
Large Corner Plot With Unobscured Views in Upmarket Estate,"Port Alfred, 8 Link Road, Riverview Waterfront Estate",470000,0,0.0,0,0
Neat 3 Bedroom Home Looking For A New Family,"Krugersdorp West, 53 Stegmann Street",795000,3,1.0,1,1
2 Bedroom House in La Pinta Lifestyle Village,"Mykonos, 10007 Blombos Close",1600000,2,1.0,1,1
2 Bedroom flat in Reyno Ridge,Reyno Ridge,520000,2,1.0,1,0
Clarendon,Clarendon,689000,2,2.0,2,0
Sable Hills Waterfront Estate,Sable Hills,2900000,0,0.0,0,0
Cosmopolitan Penthouse living in the heart of Cape Town,Cape Town City Centre,12400000,3,3.0,4,2
Perfect Holiday Getaway !,Cintsa East,1785000,3,3.0,4,2
Large 7-Bed 6-Bath House in enclosed Nimrod Park,"Nimrod Park, 42 Eland Road",2330000,7,6.0,0,0
2 Bedroom House in La Pinta Lifestyle Village,"Mykonos, 10068 Teebossie Close",2290000,2,2.0,2,2
Unique Property in a Small Secure Cpmplex,"Gillitts, 7/21 Bodriggy Gardens, York Road",3000000,3,3.0,2,0
Impeccable 3 Bedroom House in La Pinta Lifestyle Village,"Mykonos, 10057 La Pinta Avenue",2495000,3,2.0,2,2
"3 Bedroom 2 Parking  ""Ready to move in""",Musgrave,1550000,3,2.0,2,1
3 Bedroom House in La Pinta Lifestyle Village,"Mykonos, 10055 Duineriet Close",2710000,3,3.0,3,2
Incredibly spacious family home in Huntingdon,Huntingdon,950000,3,2.0,1,1
Morningside 1 Bedroom apartment- A golden Opportunity!,Morningside,650000,1,1.0,1,1
Luxurious 4 Bedroom House for Sale in Chapman's Bay Estate,"Chapman's Bay Estate, 10 Malachite Avenue",7295000,4,3.0,1,0
Unique opportunity  big plot  for sale in Big bay.,Big Bay,,0,0.0,0,0
Family Home Of Space And Flexibility,Sonland Park,760000,3,2.0,2,2
Relaxed Living!,Oyster Bay,2700000,3,2.0,2,0
Terrific Opportunity!,Kareedouw,2700000,2,1.0,0,0
Magnificent Home in secure estate!,"Beyers Park, 64 Monte Christo Boulevard",5500000,4,4.0,6,3
Courtyard living bordering green space,Val de Vie Estate,8500000,4,4.0,6,0
Neat as a pin Family home with Granny flat Louis Trichardt,Louis Trichardt,1890000,3,2.0,2,0
Prestigious family home in well sought estate,"Pennington, 1446/1 Eden Rock Forest Estate / R102",4500000,4,3.0,4,2
Well located 3 bedroom house,Mdantsane Nu 1,390000,3,2.0,2,1
Stunning House in Sought After Estate in SW 5 Proper,Vanderbijlpark SW 5,2138000,3,2.0,3,2
Lovely house with 2 granny flats.,Geluksdal,1500000,9,7.0,7,4
Paradise amongst nature!,"Suiderstrand, 15 Mark Avenue",375000,0,0.0,0,0
Character Home With Potential To Renovate,"Fleurhof, 3 Cone Flower Avenue",680000,2,1.0,1,0
Land in Mount Verde,"Mount Verde, 2 Acacia Drive",5500000,0,0.0,0,0
St Johns Village - The Vineyards,St Johns Village,3850000,3,2.0,2,1
Build your dream with equisite panoramic sea views,"Ballito Central, ERF 388 David's Place",3800000,0,0.0,0,0
Rooi Grond small holding,Mafikeng,895000,3,2.0,3,0
St Johns Village - The Vineyards,St Johns Village,3750000,3,2.0,1,1
Spacious 3 Bedroom Family Home,"Belmont Park, 65 Voortrekker Road",1249000,3,2.0,2,1
Vacant Stand in Upmarket & Trendy Area!,"Benmore Gardens, 29 Dorsetshire Close",2100000,0,0.0,0,0
Upmarket townhouse next to Vaal mall,Vanderbijlpark SW 1,965000,3,1.0,2,1
Perfect Family Home with Beautiful Flat in SE 3,Vanderbijlpark SE 3,2161000,3,2.0,3,2
Perfect location for working from home.,Zwartkop,3240000,5,3.0,3,0
"Essenwood 2 bed 1 Parking - Position,privacy,perfection!",Essenwood,899000,2,1.0,1,0
Upmarket Townhouse for sale in Louis Trichardt,Louis Trichardt,1290000,2,2.0,1,1
3 bedroom house or sale in Waterval,Elim,750000,3,2.0,1,0
Walking distance to the beach,"Pennington, 40 Bream road",305000,0,0.0,0,0
Solid Gelvandale Beauty,Gelvandale,650000,3,1.0,0,0
Absolute Potential !,Vanderbijlpark CW 3,695000 ,3,1.0,2,1
Executive Home Sable Hills Waterfront Estate,"Sable Hills, 4/133 Giraffe Road",5040000,4,3.0,4,3
Townhouse with Amazing Entertainment Features!,"Sandown, 15/127 Willowbrook Place",1800000,3,2.0,2,1
For the Entertainer!,Piet Retief,2700000,8,4.0,0,0
Morningside 1 Bed 1 Parking - A winner for a beginner!,Morningside,730000,1,1.0,1,0
Erf Hospital View,Parys,300000,0,0.0,0,0
Vacant Land for Sale on the East Bank of Port Alfred,"East Bank, 6731 2 Alfred Complex",350000,0,0.0,0,0
Still Rocks,Waterval East,1090000,3,2.0,2,1
Lovely piece of land to build your holiday home on,Seavale,370000,0,0.0,0,0
Executive 3-Bed 2-Garage Cluster with Pool in Glen Marais,"Glen Marais, 7 Savanna, Cnr Adrea and Bothana Streets",2275000,3,2.0,0,0
Charming Stepless Unit in Secure Complex,"Hillcrest, 1/1 Inyoni Road",2495000,3,2.0,2,2
This is a family delight,Sebokeng Zone 16,440000,2,1.0,1,0
Plot and Plan available on large stand,Avonddans,550000,0,0.0,0,0
3 bed close to Highway Mall,Mdantsane Nu 2,380000,3,1.0,1,1
Stunning 3 bedroom house ... not to be missed!,"Country View, 91/90 La Hacienda, Freesia Drive",780000,3,1.0,1,0
Love at first sight !,Canals,2400000,0,0.0,0,0
No shortage of space here! Entertainment galore!,Essexwold,3200000,4,3.0,3,2
Ready to move in,Boitekong,635000,3,2.0,0,0
Development property ready to move in! Langeberg Ridge,Langeberg Ridge,2357000,3,2.0,3,1
Industrial Style -  Studio or 1 and 2 beds,"West Beach, 29/100 MANHATTAN CORAL ROAD",1698000,1,1.0,0,0
Indoor Heated Pool,"Vaal Marina, 909 Harbour Town",7200000,4,3.0,0,0
"Unit with amazing view of Germiston Lake,  Denlee Germiston","Denlee, 904 Lake Club Apartments,  10 Lake road",665000,2,2.0,2,0
Prime Position in Golf Estate,"Vaal Marina, 77 Harbour Town",3500000,3,3.0,2,0
Welcome Home!!,"Linmeyer, 9/110 South Rand Road",690000,2,1.0,1,1
Stunning Flat! Well maintained and well priced,"Booysens, 109/36 Melville Street",520000,2,2.0,2,0
The Dream has Arrived - Bloubergstrand - 8 bed,"West Beach, 3 THE HILL",6120000,8,8.0,8,2
Three bedroom house in Boitekong,Boitekong,490000,3,1.0,1,0
Neat As A Pin In An Ultra-Convinient Location,Falcon Ridge,1195000,3,2.0,2,2
3 bedroom home for sale!,Van Riebeeck Park,1275000,3,2.0,1,1
Beautifully Renovated home in Pearl Rise,"Pearl Rise, 3 Louis Botha Avenue",3995000 ,3,2.0,2,2
A family's dream home in a sought after Estate,Brentwood Park,6500000,7,6.0,2,0
3Bedroom house for sale,Colenso,500000,3,2.0,2,1
Invest in a lifestyle and build your own home,"Chapman's Bay Estate, 3 Siskin Avenue",1250000,0,0.0,0,0
"Retirement - Auction - Bidding to Start from R260,000!!","Bellville Central, 2 Cross Street",Bidding to Start from 260000!! Live Aucti,1,1.0,1,0
Exellent Investment !,Vanderbijlpark CE 2,685000,3,2.0,2,1
One of the biggest Smallholdings in Roodia,Roodia,4320000,5,4.0,4,0
Spacious home for sale in Geelhout Park,Geelhoutpark,1100000,3,2.0,4,0
A  New  Development  -  Villa  Chantelle,"Chantelle, 44/1439 Walnut Drive",1390000,3,2.0,2,2
2 Bedroom Flat in Secure Estate,Reyno Ridge,510000,2,1.0,1,0
2 Bedroom Flat in Reyno Ridge,Reyno Ridge,572000,2,1.0,1,0
Under Offer,Agulhas,545000,0,0.0,0,0
Mooi River -Price Reduced to R560k needs TLC,"Mooi River, 2 TEN CARTE AVE",560000,3,1.0,1,1
Vacant Land for Sale on the East Bank of Port Alfred,"East Bank, 91 Bathurst Street",285000,0,0.0,0,0
Light Bright Executive apartment,Sunninghill,1050000,2,1.0,1,0
Level land in PenValley Golf Estate,"Pennington, 1398 PenValley/R102 Old Main Road",390000,0,0.0,0,0
"3 Bedroom House for sale in Country Club, Langebaan","Country Club, 74 Fairway Frive",2995000,3,2.5,0,0
It is all about the feeling,"Scottburgh South, 8 Marion avenue",1350000,2,1.0,2,1
Byrne Valley,Byrne,695000,3,2.0,3,0
Lovely Plot Overlooking the Kowie River in Port Alfred,"West Bank, 15 Henry Street",500000,0,0.0,0,0
The ultimate place to call home with less maintenance.,Welgedacht,895000,4,3.0,4,2
Easy to maintain property that is near all local facilities,Tsakane,495000,2,1.0,1,0
First Class Hidden Jewel,"New Redruth, 58A Camelford",2195000,3,2.0,3,2
Spacious flat for sale,New Redruth,750000,2,2.0,0,0
4 Bedroom House for Sale in Waterfront Estate,"Waterfront, 12 Seeberg Close",2350000,4,2.5,3,2
Perfect Dual Living or Registered Guest House - Kenridge,"Kenridge, 12 Heather Avenue",3195000,8,5.0,0,0
Stunning Front Unit!!!,"The Coves, 5 Olive Tree Cove",1650000,3,3.0,3,2
Lock-up-and-go! Secure 3 bedroomer with 2 x Lockup Parking,"Edgemead, 22 Gideon Malherbe Crescent",2190000,3,2.0,2,1
Exclusive Mandate - Lock up and Go unit in Secure Complex!,Modimolle,899000,2,2.0,2,1
Spacious Unit Close To The Beach,"Bluff, 1/201 marine drive",1345000,3,3.0,0,0
Charming Thatch Apartment great price,Sunninghill,900000,2,1.0,1,0
Under Offer,Agulhas,367500,0,0.0,0,0
"A family starter house for sale, in a secured Estate.","Country View, 90/90 Freesia Drive",820000,3,1.0,1,0
New Developement in Chantelle,"Chantelle, 1439 Wallnut Drive",1390000,3,2.0,2,2
Create wonderful memories is this out of the ordinary home!,Bedfordview,4499000,4,3.0,4,6
Sable Hills Waterfront Estate,"Sable Hills, 132/6 Nightjar Circle",1200000,0,0.0,0,0
Priced To Please.,Amanzimtoti,1940000,2,3.0,3,0
Very big Family Home with Flat & Double garage.,Brakpan Central,950000,3,2.0,2,2
"Forest Waters 2 Bedroom Apartment - R899,000",Chasedene,899000,2,1.0,1,0
1834 Sqm Vacant land in the Central of all businesses,"Cullinan, 760 Ross Rd",328000,0,0.0,0,0
Nottingham Road,"Nottingham Road, 38 Eagle Crest",530000,0,0.0,0,0
Property in Nagina not to miss!!,"Nagina, 49 Nagina Drive",1250000,6,4.0,4,0
2548 Sqm Vacant land in the Central of all businesses,"Cullinan, 759 Ross Rd",328000,0,0.0,0,0
Stilbaai Harbour Area,"Stilbaai Wes, 31 Sterretjie",2720000,3,2.0,0,0
Architectural masterpiece,Oranjeville,8100000,4,3.0,4,3
On offer a beautiful 3 bedroom home in the centre of Preside,Presidents Dam,2100000,3,2.0,2,2
